artist_name,spotify_id,genres,popularity_score,followers_count,spotify_profile_url,image_url
Blues Beatles,2Jt5skA2j8InQjTSNwkHig,,16,11159,https://open.spotify.com/artist/2Jt5skA2j8InQjTSNwkHig,https://i.scdn.co/image/ab6761610000e5eb66e003359526c71f211e2f23
The Beatles Connection,3ZOhDuAjCjvw9z5lEGUmgZ,,12,13398,https://open.spotify.com/artist/3ZOhDuAjCjvw9z5lEGUmgZ,https://i.scdn.co/image/ab67616d0000b2733a7b5350a0b1408295c0d8f2
The Ultimate Beatles Cover Band,419jnuNhkJJvPAUANh7YAo,tribute,11,12878,https://open.spotify.com/artist/419jnuNhkJJvPAUANh7YAo,https://i.scdn.co/image/ab67616d0000b27347e7451736bbdd31358023b3
The Beatles Symphony Orchestra,7F4QQowQM3dIGKOCrrMJKd,tribute,12,3581,https://open.spotify.com/artist/7F4QQowQM3dIGKOCrrMJKd,https://i.scdn.co/image/ab67616d0000b273c58ca59abf3a79dcb5cec053
BPC - Beatles Para Crianças,4t83AyA21Oa7s0NAFypUgP,,18,2978,https://open.spotify.com/artist/4t83AyA21Oa7s0NAFypUgP,https://i.scdn.co/image/ab6761610000e5eb8947b59253a56980e0297223
Beatles Tribute,0pnmwHw5HLjZ4OFRuonTIE,,13,191,https://open.spotify.com/artist/0pnmwHw5HLjZ4OFRuonTIE,https://i.scdn.co/image/ab67616d0000b273467797895b5ea91ee847b958
The Beatles Revival Band & Orchestra,5zgR7V2XsPpRYs1ou6xOPB,,8,2720,https://open.spotify.com/artist/5zgR7V2XsPpRYs1ou6xOPB,https://i.scdn.co/image/ab67616d0000b2739b4ae2b2ec78de27bb7db2da
The Bornagen Beatles,5CJAdW1DhqZWCNhBSM2pIv,,5,278,https://open.spotify.com/artist/5CJAdW1DhqZWCNhBSM2pIv,https://i.scdn.co/image/ab67616d0000b27360014a801b64cb88c45b7747
Memphis Loves The Beatles Studio Band,1cti53NtX5PZtGATWuQPBv,,0,25,https://open.spotify.com/artist/1cti53NtX5PZtGATWuQPBv,
The Surreal Beatles,3mnrmpvuo4TyzSZXpWPQUY,,0,98,https://open.spotify.com/artist/3mnrmpvuo4TyzSZXpWPQUY,https://i.scdn.co/image/ab67616d0000b273ed47a6c6ec4bbb34d5efde6a
The Savage Young Beatles,3a0WQhf7RTFPsfry8U4E0d,,0,78,https://open.spotify.com/artist/3a0WQhf7RTFPsfry8U4E0d,https://i.scdn.co/image/ab67616d0000b273810780d6f8f7625a4d383be2
The Beatles Covers,6nOpMlPnfHCGEknaWAHxsR,,0,0,https://open.spotify.com/artist/6nOpMlPnfHCGEknaWAHxsR,https://i.scdn.co/image/ab67616d0000b273ebc962818fbdc758e9010f5e
Karaoke - The Beatles,1f5kd2zHifHUgsjlivOHxJ,karaoke,1,158,https://open.spotify.com/artist/1f5kd2zHifHUgsjlivOHxJ,
